Entity,Year,nox,so2,co,oc,nmvoc,bc,nh3,nox_per_capita,so2_per_capita,co_per_capita,oc_per_capita,nmvoc_per_capita,bc_per_capita,nh3_per_capita
United Kingdom,1750,13829.9422642527,112844.283537667,1278854.17835335,25527.6093850988,108305.809254878,7244.51745944792,26999.7025954807,1.48898397728689,12.1492430630248,137.686285630884,2.74839913475984,11.6606137282611,0.779972194690573,2.90689026664237
United Kingdom,1760,14744.5992831913,135968.130397342,1322798.56567112,26417.6950441812,111682.901758944,7670.83175513632,28508.0373576583,1.50100276053477,13.841579221744,134.661123070823,2.68932593057892,11.3693387405796,0.78089200112635,2.9021231401015
United Kingdom,1770,17498.3030135783,196516.900948123,1415385.58709722,28519.8424302023,117253.298489924,9015.32738984318,30050.3593442876,1.68713859322753,18.947622952567,136.467613255795,2.74980532680366,11.3052428519538,0.86923324840031,2.89737358821376
United Kingdom,1780,20859.0475181307,149032.642062421,1522108.05879296,30987.3119489425,123403.890018034,10659.1762629841,31627.8091404046,1.90746903496229,13.6283859407097,139.190151779007,2.83365469913949,11.2847482033248,0.974735238614066,2.89222537733715
United Kingdom,1790,25767.9307466597,193054.81248198,1673432.59492747,36655.7670640467,131366.556728763,14388.0270356805,33247.492687973,2.23735091891654,16.7623611827585,145.299053727518,3.18270857410491,11.4061578828987,1.24926855113691,2.88677849410745
United Kingdom,1800,34543.4227184733,263852.02587399,1928987.84190017,45148.7947041173,144169.45170869,20183.8902678017,34920.7652474034,3.21334164823007,24.544374499906,179.440729479086,4.19988787945277,13.4111117868549,1.87757118770248,3.24844327882822
United Kingdom,1801,34630.8985193757,264839.203695918,1928208.70654833,45450.2022020947,143945.317275545,20411.5430645926,34986.4539297288,3.18703435414034,24.3727906750621,177.450417184059,4.18272011451443,13.2470912072386,1.87844646685893,3.21975563357702
United Kingdom,1802,34790.4047446757,265891.934667381,1929413.7096682,45801.0582414045,143815.092083918,20675.3464308725,35052.3494862639,3.16747986931777,24.2080354239563,175.66277626865,4.16994085115672,13.0935932600671,1.88237946903972,3.19132853396952
United Kingdom,1803,38653.141226016,298246.805055837,2032747.62305217,48695.9727931023,148521.387801795,22797.8888075797,35127.5799575018,3.48153385320758,26.8634402141169,183.091967178079,4.38610349422138,13.3774959332229,2.05343263568522,3.16398240671277
United Kingdom,1804,38812.6778376508,299041.72699528,2033921.38115006,49046.7565579989,148390.515098967,23061.6852533371,35193.5336532682,3.45852470082847,26.6470456822822,181.238907701103,4.370464201437,13.222799621947,2.05498338519756,3.13602957153325
United Kingdom,1805,40120.4881949668,311732.205705199,2066744.82981855,50186.3481788701,149758.996049795,23901.8160072047,35262.403475253,3.53683568618201,27.4808617560316,182.194614203409,4.42419509791636,13.2020567392337,2.10707296003051,3.10856952651612
United Kingdom,1806,42186.7758199573,330310.575181542,2120452.63394907,51846.9482189161,152117.532958781,25122.6239670048,35333.213139145,3.67922581393131,28.8073020798975,184.930559788201,4.52171626186125,13.2665922705742,2.19101376714754,3.08150758961723
